trained_objective,step,checkpoint,evaluated_objective,center_loss,mean_abs_derivative,median_abs_derivative,derivative_std,near_zero_fraction,descent_fraction,curvature_mean,curvature_abs_mean,outcome_noise_proxy,snr_proxy,class_correlation,class_sign_agreement,class_conflict_rate,class_class0_mean_abs,class_class1_mean_abs
PER_OUTCOME_ENSEMBLE_MMD,2,best,PER_OUTCOME_ENSEMBLE_MMD,0.4668471219501155,0.07377257905993409,0.067273895021668,0.09022821101831056,0.0,0.0,0.13728530572367725,0.13728530572367725,0.10583509900824142,0.6970521098505269,-0.5515775622006914,0.28125,0.71875,0.17515506533700262,0.11599081407441782
PER_OUTCOME_ENSEMBLE_MMD,2,best,COMBINED_ENSEMBLE_MMD,0.4361051311549108,0.09998545087886904,0.05702429160487642,0.13478683048576195,0.0,0.03125,0.10609097769033786,0.10609097769033786,0.10583509900824142,0.9447286563324623,-0.3416748549539124,0.3125,0.6875,0.2278132639948937,0.13281504914687775
COMBINED_ENSEMBLE_MMD,1,initial,PER_OUTCOME_ENSEMBLE_MMD,1.3074818011841398,0.20452963118115527,0.1597655521253749,0.2599884273199195,0.0,0.5625,0.045302727136546206,0.06048417001123388,0.22438654183163062,0.9115057860048708,-0.09461544094483182,0.46875,0.53125,0.26179950381385786,0.34054647219200584
COMBINED_ENSEMBLE_MMD,1,initial,COMBINED_ENSEMBLE_MMD,1.280555752093111,0.24995160434161343,0.21364564825501273,0.3152167037012906,0.0,0.53125,0.03315590809096011,0.0559620770892143,0.22438654183163062,1.1139331365477598,0.006894217945957033,0.46875,0.53125,0.3049078557745074,0.4001777464848557
COMBINED_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,0.4704545235221866,0.16207408869957013,0.15403779764057085,0.2049958009007767,0.0,0.0,0.5105243495717914,0.5105243495717914,0.20437466936312887,0.793024346924325,-0.02070681618735569,0.4375,0.5625,0.2194101413067413,0.2493409606236071
COMBINED_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,0.4051203556156594,0.1442840448442951,0.12466102579297682,0.18600818963679777,0.0,0.0,0.4835261754625907,0.4835261754625907,0.20437466936312887,0.7059781199593481,-0.1361783286693472,0.34375,0.65625,0.21098344239871913,0.24715289589542044
COMBINED_ENSEMBLE_MMD,1,best,PER_OUTCOME_ENSEMBLE_MMD,0.3890656864068502,0.12601178593612522,0.09864234400726943,0.1476165707935552,0.0,0.0,0.5507829384064066,0.5507829384064066,0.19989219509853007,0.6303987300455227,-0.14167735285657596,0.46875,0.53125,0.18046712677917487,0.18794198278347868
COMBINED_ENSEMBLE_MMD,1,best,COMBINED_ENSEMBLE_MMD,0.32601729221981546,0.1212388170893661,0.09895510485842196,0.1340962572087652,0.0,0.0,0.5244308787092622,0.5244308787092622,0.19989219509853007,0.6065210151382125,-0.25969897137645986,0.53125,0.46875,0.18328944792460075,0.17921009089848577
COMBINED_ENSEMBLE_MMD,2,initial,PER_OUTCOME_ENSEMBLE_MMD,0.6368301394637581,0.10275126387470661,0.08131379694521157,0.12926619117311958,0.0,0.46875,0.03261780968956097,0.0337585453239116,0.06646788856941503,1.5458782592048101,-0.09523595625204553,0.4375,0.5625,0.1470070037277874,0.14817331693212799
COMBINED_ENSEMBLE_MMD,2,initial,COMBINED_ENSEMBLE_MMD,0.6171240937734894,0.12948496166070478,0.08578098692817579,0.16173203834542918,0.0,0.875,-0.0020968230009273253,0.01903028622000033,0.06646788856941503,1.948082968296466,0.06731817890697302,0.40625,0.59375,0.16265790160374857,0.18745829983575674
COMBINED_ENSEMBLE_MMD,2,intermediate,PER_OUTCOME_ENSEMBLE_MMD,0.5176344351142931,0.09576338701698647,0.0785210255619434,0.10909624137569933,0.0,0.0,0.12053992637337875,0.12053992637337875,0.13059632735657134,0.7332777954430574,-0.14930277762436134,0.40625,0.59375,0.148769383606721,0.13505500039686208
COMBINED_ENSEMBLE_MMD,2,intermediate,COMBINED_ENSEMBLE_MMD,0.4052216902073114,0.08578341324249089,0.07806679013239809,0.10279026247022882,0.0,0.0,0.12383257720455546,0.12383257720455546,0.13059632735657134,0.6568593082121956,-0.20280833526059297,0.4375,0.5625,0.16129952278793463,0.11769224877065053
COMBINED_ENSEMBLE_MMD,2,best,PER_OUTCOME_ENSEMBLE_MMD,0.4767162454096325,0.09465220104692842,0.08429838254551811,0.10934576113469786,0.0,0.0,0.14740908685174248,0.14740908685174248,0.1587883509470002,0.5960903333426587,-0.24722519376702665,0.40625,0.59375,0.14988289391347237,0.13736653909961544
