trained_objective,step,checkpoint,evaluated_objective,direction,derivative,curvature,outcome_noise,class0_derivative,class1_derivative
PER_OUTCOME_ENSEMBLE_MMD,1,initial,COMBINED_ENSEMBLE_MMD,28,0.674988756240212,-0.061657714149078835,0.3257340266171003,0.6209117317688303,0.7290657807115938
PER_OUTCOME_ENSEMBLE_MMD,1,initial,COMBINED_ENSEMBLE_MMD,29,0.0950997530978559,0.03577312353565176,0.08741602047630695,0.24874097870272543,-0.05854147250701288
PER_OUTCOME_ENSEMBLE_MMD,1,initial,COMBINED_ENSEMBLE_MMD,30,0.19194905352022323,0.06389170757846419,0.1912125439211088,0.3891049066993565,-0.0052067996589107626
PER_OUTCOME_ENSEMBLE_MMD,1,initial,COMBINED_ENSEMBLE_MMD,31,0.21030435023835725,0.07846287447491607,0.3424926194998343,0.06529129695901434,0.3553174035177017
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,0,-0.20555659091440304,0.4704391216608561,0.24364252275537185,-0.27900303120390124,-0.13211015062490525
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,1,0.2206419857678858,0.5588475753444824,0.1685050710658042,0.44166866334440746,-0.00038469180863587304
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,2,0.08599061563756968,0.49612259598660535,0.1599306303359446,0.0018888709859517703,0.1700923602891876
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,3,-0.13877953230540271,0.5064760905202745,0.138466931507297,-0.30159800708144097,0.02403894247063517
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,4,0.37271665429544965,0.5044707530596317,0.15678183201100743,0.32188080333760494,0.4235525052532948
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,5,0.10072471099427364,0.61189042503624,0.13932387807449226,0.18859038220366017,0.012859039784887116
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,6,-0.067628608908612,0.6017608982079903,0.21110047691490566,0.3307392903942674,-0.4659965082114918
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,7,0.21391772378201113,0.5262058007183921,0.3835064062562788,0.1852488426659745,0.24258660489804815
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,8,0.21441858276921022,0.5560744557950217,0.18253984979249277,0.18654265564417036,0.2422945098942501
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,9,0.05400897668377813,0.6179654735885445,0.14021905978201019,-0.23241650501710454,0.34043445838466047
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,10,-0.08001855956778418,0.7781740299044633,0.21281902780456471,-0.0789911818645983,-0.08104593727096969
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,11,0.1284804923262839,0.5504661263393795,0.23528661370402393,-0.1268451631098718,0.38380614776243993
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,12,0.1482835127467545,0.4484257959050806,0.27039190521753137,0.2554200293361945,0.04114699615731484
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,13,0.3385498073450166,0.550896107662671,0.18136122604220972,0.2850546350065699,0.3920449796834635
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,14,-0.18007051974037885,0.43952310830989005,0.21434420380712974,-0.3701077613193129,0.009966721838554626
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,15,-0.3759111066215356,0.552131521245655,0.131236550439676,-0.5420475927773232,-0.20977462046574802
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,16,-0.12533793048805864,0.5150278831093837,0.19428990372956992,0.3248713987029532,-0.5755472596790701
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,17,0.0961718639097009,0.4248725110671423,0.25448248580921345,-0.3179073072766096,0.510251035096011
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,18,-0.28160903559975176,0.5408162817169806,0.12678915500412524,-0.250457867142051,-0.31276020405745253
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,19,0.03147818354898857,0.5316106735691466,0.19472069077606907,0.249108818589322,-0.1861524514913445
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,20,0.11503800886235593,0.6925063949731569,0.23000262862788345,-0.12495940886278589,0.35503542658749776
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,21,0.40101070591113674,0.5074945751548683,0.08026920772579209,0.711741883955348,0.09027952786692588
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,22,0.045097503191427656,0.5420478440104712,0.27060060764274757,-0.2041081886485848,0.2943031950314401
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,23,0.41581098173263425,0.6982121339106884,0.18932912339138305,0.5286809744010912,0.3029409890641773
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,24,0.054004323504836346,0.5868261544462094,0.21028475530064072,-0.20862753496715442,0.31663618197682675
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,25,-0.2751848989323628,0.5265031521554384,0.1822058872094704,0.10133926196894794,-0.6517090598336732
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,26,-0.04544444130273958,0.42533571899419775,0.12728060218545284,-0.007609495091713455,-0.08327938751376533
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,27,0.014626525703403578,0.6124312701604337,0.12185723189915591,0.24267966630551752,-0.21342661489871073
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,28,0.00033492271025189113,0.549104044461773,0.07315070366866935,0.33541172705544353,-0.3347418816349401
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,29,-0.06277979823877382,0.686558674625438,0.23982522705155931,0.05088459427585956,-0.17644419075340756
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,30,-0.005799338017352662,0.49961406475104275,0.13702402214523682,-0.1322925203457796,0.12069384431107463
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,PER_OUTCOME_ENSEMBLE_MMD,31,-0.05504814973565142,0.3997544404221569,0.11364362953568094,0.10482643909446199,-0.21492273856576521
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,0,-0.15763668541199335,0.4390623168258788,0.24364252275537185,-0.17302640487314486,-0.1422469659508415
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,1,0.17806419314102392,0.5038125140647102,0.1685050710658042,0.42010556082071976,-0.06397717453867117
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,2,0.14046360421410017,0.4603309420021767,0.1599306303359446,0.12219832920435862,0.1587288792238417
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,3,-0.1971405646994373,0.4698199880845909,0.138466931507297,-0.27629278347316805,-0.11798834592570659
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,4,0.34849647971895975,0.46430219724158783,0.15678183201100743,0.2781586905159369,0.4188342689219826
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,5,0.12890696691099102,0.5763468854659731,0.13932387807449226,0.2359408381681046,0.021873095653877073
PER_OUTCOME_ENSEMBLE_MMD,1,intermediate,COMBINED_ENSEMBLE_MMD,6,-0.04211821386349901,0.5411478648384481,0.21110047691490566,0.2801054193985808,-0.3643418471255792
