dataset,epsilon,synthetic_id,source_state_id,source_dataset,source_split,source_class,source_g,augmentation_method,generator,operator,perturbation_strength,random_seed,norm,purity,source_fidelity,nearest_train_fidelity,nearest_same_class_train_fidelity,nearest_other_class_train_fidelity,energy,source_energy,energy_drift,energy_drift_absolute,magnetization_x,magnetization_z2,magnetization_x_drift,magnetization_z2_drift,accepted
blocked,0.1,syn-aa438d9dda1fcbd5,class-1-00012,blocked,train,1,1.346090704912023,state_local_physics,spectral_norm_normalized,field,0.1,117001,0.9999999999999999,0.9999999999999998,0.9990334858854764,0.9990334858854764,0.9990334858854764,0.8096662533085526,-5.941442401966901,-5.946599026651649,0.005156624684747868,0.005156624684747868,0.8943220881814286,0.4540898643659982,-1.1102230246251565e-16,-0.0008423371286859771,True
blocked,0.2,syn-d653079701434bf6,class-1-00012,blocked,train,1,1.346090704912023,state_local_physics,spectral_norm_normalized,field,0.2,117002,0.9999999999999997,0.9999999999999993,0.9961447907775247,0.9961639520075707,0.9961639520075707,0.8050147575986101,-5.926024051201952,-5.946599026651649,0.020574975449696886,0.020574975449696886,0.8943220881814284,0.4515712693340906,-2.220446049250313e-16,-0.003360932160593577,True
blocked,0.4,syn-ba8794d87839b703,class-1-00012,blocked,train,1,1.346090704912023,state_local_physics,spectral_norm_normalized,field,-0.4,117003,0.9999999999999998,0.9999999999999996,0.9847514756936974,0.9851029364920386,0.9851029364920386,0.78669660812333,-5.8651193841959515,-5.946599026651649,0.08147964245569739,0.08147964245569739,0.8943220881814286,0.4416224626115181,-1.1102230246251565e-16,-0.013309738883166056,False
blocked,0.8,syn-a194c1c872ed78b7,class-1-00012,blocked,train,1,1.346090704912023,state_local_physics,spectral_norm_normalized,field,0.8,117004,0.9999999999999997,0.9999999999999993,0.9416852883164825,0.9460035770607126,0.9460035770607126,0.717861077623417,-5.6335443007977695,-5.946599026651649,0.3130547258538794,0.3130547258538794,0.8943220881814284,0.4037945610770569,-2.220446049250313e-16,-0.05113764041762725,False
blocked,0.0,syn-bbd0188f4a5eb2d6,class-1-00012,blocked,train,1,1.346090704912023,state_local_physics,spectral_norm_normalized,interaction,0.0,117100,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999996,0.9999999999999996,0.8112232094214595,-5.946599026651649,-5.946599026651649,0.0,0.0,0.8943220881814287,0.45493220149468416,0.0,0.0,True
blocked,0.1,syn-fc8ae520f067e841,class-1-00012,blocked,train,1,1.346090704912023,state_local_physics,spectral_norm_normalized,interaction,-0.1,117101,1.0,1.0,0.9968881168884408,0.9968882008964023,0.9968882008964023,0.8091697570595154,-5.92999279721269,-5.946599026651649,0.01660622943895884,0.01660622943895884,0.89123792948054,0.4549322014946842,-0.0030841587008886284,5.551115123125783e-17,True
blocked,0.2,syn-be5ba0ee6aec44ec,class-1-00012,blocked,train,1,1.346090704912023,state_local_physics,spectral_norm_normalized,interaction,0.2,117102,1.0,1.0,0.9876054482501273,0.9876071495453258,0.9876071495453258,0.8030422217156756,-5.880395170183736,-5.946599026651649,0.06620385646791327,0.06620385646791327,0.8820265095427959,0.4549322014946841,-0.012295578638632731,-5.551115123125783e-17,False
blocked,0.4,syn-4a20442343653d39,class-1-00012,blocked,train,1,1.346090704912023,state_local_physics,spectral_norm_normalized,interaction,0.4,117103,1.0,1.0,0.9512588035799112,0.951266789617088,0.951266789617088,0.7790181346315127,-5.685291870807116,-5.946599026651649,0.26130715584453323,0.26130715584453323,0.8457913400507497,0.45493220149468416,-0.048530748130678925,0.0,False
blocked,0.8,syn-8f949b9198f6e2c0,class-1-00012,blocked,train,1,1.346090704912023,state_local_physics,spectral_norm_normalized,interaction,-0.8,117104,0.9999999999999998,0.9999999999999996,0.8177674532701745,0.8183603068431788,0.8183603068431788,0.6903168768569605,-4.95570079774766,-5.946599026651649,0.9908982289039887,0.9908982289039887,0.7102894993506577,0.45493220149468405,-0.184032588830771,-1.1102230246251565e-16,False
blocked,0.0,syn-6d8b56f41000f3b1,class-1-00022,blocked,train,1,1.4573748032984857,state_local_physics,spectral_norm_normalized,field,0.0,127000,0.9999999999999999,0.9999999999999998,0.9999999999999998,1.0,1.0,0.7903105734335762,-6.348306324943292,-6.348306324943292,0.0,0.0,0.9099382626248438,0.4344152528720198,0.0,0.0,True
blocked,0.1,syn-662a56fbc3650d14,class-1-00022,blocked,train,1,1.4573748032984857,state_local_physics,spectral_norm_normalized,field,0.1,127001,0.9999999999999996,0.9999999999999991,0.999164809757524,0.9991648097575238,0.9991648097575238,0.788878262467148,-6.343485057316748,-6.348306324943292,0.004821267626543779,0.004821267626543779,0.9099382626248436,0.4336435248132827,-2.220446049250313e-16,-0.0007717280587370978,True
blocked,0.2,syn-f10a0ff40ebc19b9,class-1-00022,blocked,train,1,1.4573748032984857,state_local_physics,spectral_norm_normalized,field,0.2,127002,0.9999999999999996,0.9999999999999991,0.9966684764603397,0.9966913308820015,0.9966913308820015,0.7845989453015818,-6.329069426949544,-6.348306324943292,0.01923689799374806,0.01923689799374806,0.9099382626248433,0.4313360514887354,-4.440892098500626e-16,-0.0030792013832844356,True
blocked,0.4,syn-ebc909aa50594e8f,class-1-00022,blocked,train,1,1.4573748032984857,state_local_physics,spectral_norm_normalized,field,-0.4,127003,0.9999999999999998,0.9999999999999996,0.986820684398023,0.9871024613737209,0.9871024613737209,0.7677434589497361,-6.272125647385778,-6.348306324943292,0.07618067755751401,0.07618067755751401,0.9099382626248437,0.42222120538105234,-1.1102230246251565e-16,-0.012194047490967475,False
blocked,0.8,syn-71c721337bcb3882,class-1-00022,blocked,train,1,1.4573748032984857,state_local_physics,spectral_norm_normalized,field,0.8,127004,0.9999999999999999,0.9999999999999998,0.9495674174986056,0.9509301535683223,0.9509301535683223,0.7043601422917408,-6.055610868638393,-6.348306324943292,0.2926954563048989,0.2926954563048989,0.9099382626248437,0.387564234884187,-1.1102230246251565e-16,-0.04685101798783281,False
blocked,0.0,syn-4dfbd4aae6c65eb1,class-1-00022,blocked,train,1,1.4573748032984857,state_local_physics,spectral_norm_normalized,interaction,0.0,127100,0.9999999999999999,0.9999999999999998,0.9999999999999998,1.0,1.0,0.7903105734335762,-6.348306324943292,-6.348306324943292,0.0,0.0,0.9099382626248438,0.4344152528720198,0.0,0.0,True
blocked,0.1,syn-e0de72b4dfaae8ed,class-1-00022,blocked,train,1,1.4573748032984857,state_local_physics,spectral_norm_normalized,interaction,-0.1,127101,1.0,1.0,0.9968480126199992,0.9968480126199986,0.9968480126199986,0.7882653854575367,-6.330106776480512,-6.348306324943292,0.018199548462780157,0.018199548462780157,0.9068162880268219,0.4344152528720199,-0.0031219745980218816,5.551115123125783e-17,True
blocked,0.2,syn-7e2d5fda16758cff,class-1-00022,blocked,train,1,1.4573748032984857,state_local_physics,spectral_norm_normalized,interaction,0.2,127102,1.0,1.0,0.9874460568784379,0.9874460568784378,0.9874460568784378,0.7821627388084088,-6.275750402562498,-6.348306324943292,0.07255592238079345,0.07255592238079345,0.8974919238009913,0.43441525287201976,-0.012446338823852487,-5.551115123125783e-17,False
blocked,0.4,syn-1ddb33d71adf4cc7,class-1-00022,blocked,train,1,1.4573748032984857,state_local_physics,spectral_norm_normalized,interaction,0.4,127103,1.0,1.0,0.9506373940935521,0.9506373940935523,0.9506373940935523,0.7582395910726756,-6.061927513669804,-6.348306324943292,0.2863788112734875,0.2863788112734875,0.8608124628262392,0.4344152528720198,-0.04912579979860454,0.0,False
blocked,0.8,syn-63a8777b74322d5a,class-1-00022,blocked,train,1,1.4573748032984857,state_local_physics,spectral_norm_normalized,interaction,-0.8,127104,0.9999999999999998,0.9999999999999996,0.8155246105255156,0.8159969449099479,0.8159969449099479,0.6699613353666837,-5.2623343163720415,-6.348306324943292,1.0859720085712503,1.0859720085712503,0.7236491889230474,0.43441525287201976,-0.18628907370179637,-5.551115123125783e-17,False
blocked,0.0,syn-ec8fe29ea7ba8dd9,class-1-00077,blocked,train,1,1.479329057572701,state_local_physics,spectral_norm_normalized,field,0.0,137000,0.9999999999999997,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.7865033688591483,-6.428332746379931,-6.428332746379931,0.0,0.0,0.912613915890275,0.43080367230930494,0.0,0.0,True
blocked,0.1,syn-189dcf8f0da17856,class-1-00077,blocked,train,1,1.479329057572701,state_local_physics,spectral_norm_normalized,field,0.1,137001,0.9999999999999997,0.9999999999999993,0.9991877180106754,0.9991877180106756,0.9991877180106756,0.7850936194700474,-6.423573258412457,-6.428332746379931,0.004759487967474385,0.004759487967474385,0.9126139158902751,0.43004462968677903,1.1102230246251565e-16,-0.0007590426225259073,True
blocked,0.2,syn-c1e89ec43af5e593,class-1-00077,blocked,train,1,1.479329057572701,state_local_physics,spectral_norm_normalized,field,0.2,137002,0.9999999999999996,0.9999999999999991,0.9967598329687528,0.996782015785825,0.996782015785825,0.7808816722545098,-6.409342349740526,-6.428332746379931,0.018990396639405382,0.018990396639405382,0.9126139158902747,0.42777508592217955,-2.220446049250313e-16,-0.003028586387125387,True
blocked,0.4,syn-87152c1d041d023c,class-1-00077,blocked,train,1,1.479329057572701,state_local_physics,spectral_norm_normalized,field,-0.4,137003,0.9999999999999996,0.9999999999999991,0.9871817235295239,0.9873528200533117,0.9873528200533117,0.7642909974241766,-6.35312824700867,-6.428332746379931,0.07520449937126106,0.07520449937126106,0.912613915890275,0.4188100669428016,0.0,-0.011993605366503346,False
