group,class,kernel,mmd,physics_error,generated_Mx,target_Mx,generated_Mz2,target_Mz2
seen/rollout_step_1,1,global,0.7721992719182988,0.4329417445453,0.16451727431347224,0.8838413836155475,0.32166339434571845,0.46822277413424324
seen/rollout_step_1,1,1-rdm,0.36123896416398926,0.4329417445453,0.16451727431347224,0.8838413836155475,0.32166339434571845,0.46822277413424324
seen/rollout_step_1,1,2-rdm,0.610552116486911,0.4329417445453,0.16451727431347224,0.8838413836155475,0.32166339434571845,0.46822277413424324
unseen/isolated_step_1,0,global,0.40095579744915955,0.23689430480626,0.10593460366677343,0.1820788460902527,0.5755687653722772,0.9732131325613179
unseen/isolated_step_1,0,1-rdm,0.006198847068040969,0.23689430480626,0.10593460366677343,0.1820788460902527,0.5755687653722772,0.9732131325613179
unseen/isolated_step_1,0,2-rdm,0.2885876440130746,0.23689430480626,0.10593460366677343,0.1820788460902527,0.5755687653722772,0.9732131325613179
unseen/isolated_step_1,1,global,0.5910504609721243,0.339050845032977,0.3572742198464226,0.8838413836155475,0.3166882478374142,0.46822277413424324
unseen/isolated_step_1,1,1-rdm,0.19230089862652955,0.339050845032977,0.3572742198464226,0.8838413836155475,0.3166882478374142,0.46822277413424324
unseen/isolated_step_1,1,2-rdm,0.37026701094510717,0.339050845032977,0.3572742198464226,0.8838413836155475,0.3166882478374142,0.46822277413424324
unseen/isolated_step_2,0,global,0.30381733126993377,0.24835361607567935,0.013640882536922137,0.13007663079600065,0.2858920450427376,0.6661635289350177
unseen/isolated_step_2,0,1-rdm,0.020305316194165757,0.24835361607567935,0.013640882536922137,0.13007663079600065,0.2858920450427376,0.6661635289350177
unseen/isolated_step_2,0,2-rdm,0.26958962007238396,0.24835361607567935,0.013640882536922137,0.13007663079600065,0.2858920450427376,0.6661635289350177
unseen/isolated_step_2,1,global,0.2800421781183808,0.30491826069005507,0.017917506661391268,0.5313417739503518,0.24605537968325897,0.3424676337744086
unseen/isolated_step_2,1,1-rdm,0.1963543786074562,0.30491826069005507,0.017917506661391268,0.5313417739503518,0.24605537968325897,0.3424676337744086
unseen/isolated_step_2,1,2-rdm,0.32319485956787064,0.30491826069005507,0.017917506661391268,0.5313417739503518,0.24605537968325897,0.3424676337744086
unseen/rollout_step_2,0,global,0.30590041827077935,0.26420072666653066,0.00044804041909332886,0.11744320050132818,0.26327619216322007,0.6746824854140465
unseen/rollout_step_2,0,1-rdm,0.022076815545455375,0.26420072666653066,0.00044804041909332886,0.11744320050132818,0.26327619216322007,0.6746824854140465
unseen/rollout_step_2,0,2-rdm,0.30374900243945424,0.26420072666653066,0.00044804041909332886,0.11744320050132818,0.26327619216322007,0.6746824854140465
unseen/rollout_step_2,1,global,0.2660953667596173,0.318457859348114,0.0359857972192216,0.5602280478333058,0.2412068860605568,0.3538803541427005
unseen/rollout_step_2,1,1-rdm,0.18917013115504133,0.318457859348114,0.0359857972192216,0.5602280478333058,0.2412068860605568,0.3538803541427005
unseen/rollout_step_2,1,2-rdm,0.3135078193910523,0.318457859348114,0.0359857972192216,0.5602280478333058,0.2412068860605568,0.3538803541427005
unseen/rollout_step_1,0,global,0.9844925069751557,0.4543051786586952,-0.02336657342032803,0.1820788460902527,0.2700481947545082,0.9732131325613179
unseen/rollout_step_1,0,1-rdm,0.04297826054047382,0.4543051786586952,-0.02336657342032803,0.1820788460902527,0.2700481947545082,0.9732131325613179
unseen/rollout_step_1,0,2-rdm,0.6855641338618913,0.4543051786586952,-0.02336657342032803,0.1820788460902527,0.2700481947545082,0.9732131325613179
unseen/rollout_step_1,1,global,0.925608815640757,0.5396497128817124,0.009145291654651052,0.8838413836155475,0.2636194403317151,0.46822277413424324
unseen/rollout_step_1,1,1-rdm,0.464510736112445,0.5396497128817124,0.009145291654651052,0.8838413836155475,0.2636194403317151,0.46822277413424324
unseen/rollout_step_1,1,2-rdm,0.761226985376988,0.5396497128817124,0.009145291654651052,0.8838413836155475,0.2636194403317151,0.46822277413424324
validation/isolated_step_1,0,global,0.39469093649274023,0.26318741247271077,0.18631413620778267,0.4396999260563019,0.5841366068754653,0.8571256419723676
